Title (max 60 characters),Abstract (max 180 characters),Owner,Time Slot,End Time,Label,Date,Time Label,Topic,URL,Speaker 1 Name,Speaker 1 Role,Speaker 1 Company,Speaker 1 Photo,Speaker 2 Name,Speaker 2 Role,Speaker 2 Company,Speaker 2 Photo
Builder Networking,"Meet Workato developers and fellow builders for informal conversation, practical tips, and new connections across the community.",Aaron Weiss,5:00 PM,5:45 PM,Connect,2026-09-22,5:00 PM – 5:45 PM,Networking,,Aaron Weiss,Community Lead,Workato,src/portrait-aaron.png,,,,
Be the Future of Workato's Community,"The brand new Workato Builders Community just launched, and we want to build it for YOU. Meet Workato Community Lead Aaron Weiss, hear our vision for Community, and tell us yours.",Aaron Weiss,12:00 PM,12:45 PM,Connect,2026-09-23,12:00 PM – 12:45 PM,Community,,Aaron Weiss,Community Lead,Workato,src/portrait-aaron.png,,,,
Lessons from Building Agent Teams,"Chloe, Matt, Fischer and Shubham share candid lessons from building agent teams: what failed, what they'd change, and a few deep-dive details about how they built what they did. Bring your questions.",Chloe Condon,1:00 PM,1:45 PM,Learn,2026-09-23,1:00 PM – 1:45 PM,Conversation,,Chloe Condon,Senior Developer Advocate,Workato,src/portrait-chloe.jpeg,,,,
Builder Showcase: Lightning Demos,"Watch quick builds from Christopher Miller, Workato Developer Advocate, volunteer to share what you're building, and learn from fellow practitioners.",Christopher Miller,2:15 PM,3:00 PM,Build,2026-09-23,2:15 PM – 3:00 PM,Demos,,Christopher Miller,Staff AI Software Engineer,Workato,src/portrait-chris.jpeg,,,,
Workato AI Research Spotlight,Explore Workato's AI research on LLM performance and specialized models for business processes. Meet the researchers and ask your questions.,Thomas Joseph,3:15 PM,4:00 PM,Learn,2026-09-23,3:15 PM – 4:00 PM,Research,,Thomas Joseph,"SVP, Agentic AI",Workato,src/portrait-thomas.png,,,,
OpenAI + Workato Builder Happy Hour,"Network with fellow builders over happy hour, meet the OpenAI product and Workato DevRel teams, and catch a surprise demo or two.",Zayne Turner,4:45 PM,5:30 PM,Connect,2026-09-23,4:45 PM – 5:30 PM,Networking,,Zayne Turner,"VP, Developer Relations",Workato,src/portrait-zayne.jpeg,,,,
"Community Champions: Learning Better, Together","Hear how Workato community champions in India share knowledge, build relationships, and sharpen their technical skills—then take ideas back to your own practice.",India Team,10:45 AM,11:30 AM,Learn,2026-09-24,10:45 AM – 11:30 AM,Community,,India Team,,Workato,,,,,
Workato AI Research Spotlight,Explore Workato's AI research on LLM performance and specialized models for business processes. Meet the researchers and ask your questions.,Thomas Joseph,11:30 AM,12:00 PM,Learn,2026-09-24,11:30 AM – 12:00 PM,Research,,Thomas Joseph,"SVP, Agentic AI",Workato,src/portrait-thomas.png,,,,
Meet the Creators of Dewy,Get to know Dewy: go behind-the-scenes and hear stories from the creatives behind Workato's favorite mascot.,"Domenique Sillett Buxton, Ray Yuen",12:30 PM,1:15 PM,Build,2026-09-24,12:30 PM – 1:15 PM,Networking,,Domenique Sillett Buxton,Executive Creative Director,Workato,src/portrait-domenique.png,Ray Yuen,Art Director,Workato,src/portrait-ray.png
Builder Showcase: Lightning Demos (pt 2),"Watch quick builds from Christopher Miller, Workato Developer Advocate, volunteer to share what you're building, and learn from fellow practitioners.",Christopher Miller,1:15 PM,2:00 PM,Build,2026-09-24,1:15 PM – 2:00 PM,Demos,,Christopher Miller,Staff AI Software Engineer,Workato,src/portrait-chris.jpeg,,,,
AWS Partner Demo: Details Coming Soon,"Join Sampath Kathirvel from AWS and Workato for a technical demo. The topic, presenter, and practical takeaway will be announced soon.",Sampath Kathirvel,2:45 PM,3:30 PM,Learn,2026-09-24,2:45 PM – 3:30 PM,Demos,,Sampath Kathirvel,Sr. Solutions Architect,AWS,src/portrait-sampath.jpeg,,,,
Builder Networking (pt. 2),"Join Workato developers, the India team, and fellow builders for a final round of casual conversation, hands-on tips, and new connections to take with you as the conference comes to a close.",,3:30 PM,4:15 PM,Connect,2026-09-24,3:30 PM – 4:15 PM,Networking,,,,,,,,,
